date,1,2
2024-01-01,4.5,4.4
2024-01-02,3.2,3.3
2024-01-03,3.8,3.7
2024-01-04,4.2,4.1
2024-01-05,4.8,4.7
2024-01-06,3.1,3.2
2024-01-07,2.5,2.6
2024-01-08,2.8,2.9
2024-01-09,4.1,4.0
2024-01-10,4.6,4.5
2024-01-11,4.0,4.1
2024-01-12,4.4,4.3
2024-01-13,2.9,3.0
2024-01-14,2.2,2.3
2024-01-15,3.3,3.4
2024-01-16,4.5,4.4
2024-01-17,4.7,4.6
2024-01-18,4.9,4.8
2024-01-19,3.6,3.5
2024-01-20,3.0,3.1
2024-01-21,4.3,4.2
2024-01-22,4.6,4.5
2024-01-23,4.2,4.1
2024-01-24,4.8,4.7
2024-01-25,2.6,2.7
2024-01-26,2.9,3.0
2024-01-27,3.5,3.4
2024-01-28,4.4,4.3
2024-01-29,4.7,4.6
2024-01-30,3.9,3.8
